Nome, Idade, PRs, ultima atualização, razão de issues, linguagem principal
 freeCodeCamp, 9,  21847, 09/03/2024,  0.98, TypeScript
 free-programming-books, 10,  6441, 09/03/2024,  0.98, None
 awesome, 10,  641, 09/03/2024,  0.93, None
 public-apis, 8,  1871, 09/03/2024,  0.98, Python
 coding-interview-university, 8,  397, 09/03/2024,  0.89, None
 996.ICU, 5,  1066, 09/03/2024,  0.00, None
 developer-roadmap, 7,  1787, 09/03/2024,  0.59, TypeScript
 build-your-own-x, 6,  133, 09/03/2024,  0.71, None
 system-design-primer, 7,  196, 09/03/2024,  0.29, Python
 react, 11,  9741, 09/03/2024,  0.91, JavaScript
 vue, 11,  1133, 09/03/2024,  0.96, TypeScript
 awesome-python, 10,  540, 09/03/2024,  0.00, Python
 tensorflow, 8,  16525, 09/03/2024,  0.95, C++
 javascript-algorithms, 6,  282, 09/03/2024,  0.63, JavaScript
 Python, 8,  2724, 09/03/2024,  0.98, Python
 You-Dont-Know-JS, 10,  365, 09/03/2024,  0.91, None
 awesome-selfhosted, 9,  2395, 09/03/2024,  1.00, None
 CS-Notes, 6,  375, 09/03/2024,  0.77, None
 ohmyzsh, 15,  3069, 09/03/2024,  0.97, Shell
 linux, 13,  9, 09/03/2024,  0.00, C
 bootstrap, 13,  8651, 09/03/2024,  0.98, JavaScript
 flutter, 9,  36162, 09/03/2024,  0.87, Dart
 computer-science, 10,  253, 09/03/2024,  0.97, None
 project-based-learning, 7,  182, 09/03/2024,  0.55, None
 AutoGPT, 1,  1524, 09/03/2024,  0.96, JavaScript
 vscode, 9,  23378, 09/03/2024,  0.96, TypeScript
 gitignore, 13,  1523, 09/03/2024,  0.00, None
 Python-100-Days, 6,  13, 09/03/2024,  0.17, Python
 the-art-of-command-line, 9,  317, 09/03/2024,  0.55, None
 JavaGuide, 6,  971, 09/03/2024,  0.94, Java
 javascript, 11,  802, 09/03/2024,  0.93, JavaScript
 youtube-dl, 13,  1620, 09/03/2024,  0.86, Python
 the-book-of-secret-knowledge, 6,  122, 09/03/2024,  0.00, None
 stable-diffusion-webui, 2,  1656, 09/03/2024,  0.73, Python
 fucking-algorithm, 4,  232, 09/03/2024,  0.56, Markdown
 transformers, 5,  11821, 09/03/2024,  0.95, Python
 next.js, 7,  16173, 09/03/2024,  0.87, JavaScript
 30-seconds-of-code, 6,  816, 09/03/2024,  1.00, JavaScript
 go, 10,  1, 09/03/2024,  0.86, Go
 awesome-go, 10,  3116, 09/03/2024,  1.00, Go
 react-native, 9,  803, 09/03/2024,  0.97, C++
 electron, 11,  18937, 09/03/2024,  0.96, C++
 free-programming-books-zh_CN, 10,  282, 09/03/2024,  0.00, None
 tech-interview-handbook, 8,  456, 09/03/2024,  0.68, TypeScript
 d3, 13,  475, 09/03/2024,  1.00, Shell
 kubernetes, 10,  57869, 09/03/2024,  0.96, Go
 axios, 10,  812, 09/03/2024,  0.89, JavaScript
 PowerToys, 5,  4510, 09/03/2024,  0.80, C#
 node, 9,  7642, 09/03/2024,  0.91, JavaScript
 create-react-app, 8,  1944, 09/03/2024,  0.79, JavaScript
 awesome-chatgpt-prompts, 1,  114, 09/03/2024,  0.00, HTML
 scrcpy, 6,  76, 09/03/2024,  0.60, C
 three.js, 14,  11994, 09/03/2024,  0.97, JavaScript
 TypeScript, 10,  13714, 09/03/2024,  0.86, TypeScript
 nodebestpractices, 6,  765, 09/03/2024,  0.89, Dockerfile
 angular, 9,  3520, 09/03/2024,  0.95, TypeScript
 terminal, 7,  3545, 09/03/2024,  0.88, C++
 deno, 6,  10081, 09/03/2024,  0.81, Rust
 material-ui, 10,  17632, 09/03/2024,  0.92, TypeScript
 rust, 14,  53282, 09/03/2024,  0.83, Rust
 ant-design, 9,  13139, 09/03/2024,  0.97, TypeScript
 clean-code-javascript, 7,  149, 09/03/2024,  0.55, JavaScript
 puppeteer, 7,  4271, 09/03/2024,  0.95, TypeScript
 java-design-patterns, 10,  1231, 09/03/2024,  0.78, Java
 vue-element-admin, 7,  312, 09/03/2024,  0.66, Vue
 GitHub-Chinese-Top-Charts, 5,  0, 09/03/2024,  0.50, Java
 HelloGitHub, 8,  17, 09/03/2024,  0.96, Python
 storybook, 8,  9578, 09/03/2024,  0.86, TypeScript
 papers-we-love, 10,  425, 09/03/2024,  0.92, Shell
 thefuck, 9,  482, 09/03/2024,  0.66, Python
 free-for-dev, 9,  2422, 09/03/2024,  0.00, HTML
 godot, 10,  31331, 09/03/2024,  0.80, C++
 Web-Dev-For-Beginners, 3,  478, 09/03/2024,  0.82, JavaScript
 animate.css, 12,  315, 09/03/2024,  0.98, CSS
 langchain, 1,  8202, 09/03/2024,  0.78, Python
 frp, 8,  570, 09/03/2024,  0.97, Go
 realworld, 8,  427, 09/03/2024,  0.90, TypeScript
 tailwindcss, 6,  1988, 09/03/2024,  0.99, HTML
 iptv, 5,  6142, 09/03/2024,  1.00, JavaScript
 models, 8,  2323, 09/03/2024,  0.86, Python
 pytorch, 8,  5644, 09/03/2024,  0.68, Python
 laravel, 13,  1558, 09/03/2024,  0.00, PHP
 django, 12,  8815, 09/03/2024,  0.00, Python
 every-programmer-should-know, 7,  98, 09/03/2024,  0.43, None
 svelte, 7,  3537, 09/03/2024,  0.85, JavaScript
 tauri, 5,  3772, 09/03/2024,  0.81, Rust
 Awesome-Hacking, 8,  29, 09/03/2024,  0.00, None
 neovim, 10,  12153, 09/03/2024,  0.87, Vim Script
 LeetCodeAnimation, 5,  63, 09/03/2024,  0.71, Java
 FiraCode, 9,  132, 09/03/2024,  0.71, Clojure
 gin, 10,  971, 09/03/2024,  0.73, Go
 bitcoin, 13,  13789, 09/03/2024,  0.95, C++
 mall, 6,  1, 09/03/2024,  0.95, Java
 opencv, 12,  11852, 09/03/2024,  0.77, C++
 nvm, 14,  705, 09/03/2024,  0.83, Shell
 app-ideas, 5,  149, 09/03/2024,  0.28, None
 advanced-java, 5,  79, 09/03/2024,  0.98, Java
 Font-Awesome, 12,  202, 09/03/2024,  0.72, JavaScript
 spring-boot, 11,  42, 09/03/2024,  0.98, Java
 hugo, 11,  2353, 09/03/2024,  0.94, Go
 json-server, 10,  117, 09/03/2024,  0.48, JavaScript
 awesome-vue, 8,  3463, 09/03/2024,  0.85, None
 excalidraw, 4,  3280, 09/03/2024,  0.59, TypeScript
 awesome-mac, 8,  826, 09/03/2024,  0.75, JavaScript
 fastapi, 5,  1696, 09/03/2024,  0.99, Python
 bun, 3,  2609, 09/03/2024,  0.59, Zig
 core, 10,  55803, 09/03/2024,  0.94, Python
 yt-dlp, 3,  1905, 09/03/2024,  0.82, Python
